Year,co2Emissions,carMpg,truckMpg
1960,16.00,14.3,12.4
1961,15.68,14.4,12.4
1962,16.01,14.3,12.4
1963,16.48,14.6,12.5
1964,16.97,14.6,12.5
1965,17.45,14.5,12.5
1966,18.12,14.1,12.4
1967,18.60,14.1,12.4
1968,19.09,13.9,12.2
1969,19.86,13.6,12
1970,21.11,13.5,12
1971,20.98,13.6,12.1
1972,21.75,13.5,12
1973,22.51,13.4,11.9
1974,21.50,13.6,12
1975,20.40,13.5,11.6
1976,21.16,14.9,12.2
1977,21.53,15.6,13.3
1978,21.97,16.9,12.9
1979,21.78,17.2,12.5
1980,20.79,20,15.8
1981,19.77,21.4,17.1
1982,18.59,22.2,17.4
1983,18.57,22.1,17.7
1984,18.98,22.4,17.4
1985,18.88,23,17.5
1986,18.72,23.7,18.2
1987,19.35,23.8,18.3
1988,20.01,24.1,17.8
1989,20.08,23.6,17.6
1990,19.32,23.3,17.4
1991,19.06,23.3,17.8
1992,19.14,22.9,17.3
1993,19.35,23,17.5
1994,19.36,23,17.2
1995,19.28,23.3,17
1996,19.50,23.1,17.2
1997,19.69,23.2,16.8
1998,19.58,23,17.1
1999,19.73,22.7,16.6
2000,20.18,22.5,16.8
2001,19.64,22.6,16.5
2002,19.61,22.8,16.5
2003,19.56,23,16.7
2004,19.66,22.9,16.5
2005,19.59,23.1,16.9
2006,19.09,23,17.2
2007,19.22,23.7,17.4
2008,18.46,23.9,17.8
2009,17.16,25,18.5
2010,17.44,25.7,18.8
2011,16.92,25.4,19.1
2012,16.19,26.9,19.3
2013,16.36,27.6,19.8
2014,16.42,27.6,20.3
2015,15.99,28.2,21.1
2016,15.50,28.5,21.2
